participant_id,trial_id,condition,true_angle_deg,response_angle_deg,absolute_error_deg,reaction_time_ms,externalization_rating
P005,T0151,personalized_no_eq,225.0,238.17,13.17,757,3.46
P005,T0152,personalized_device_eq,225.0,241.23,16.23,995,4.08
P005,T0153,generic_no_eq,270.0,289.75,19.75,999,2.76
P005,T0154,generic_device_eq,270.0,240.94,29.06,1302,2.30
P005,T0155,personalized_no_eq,270.0,246.25,23.75,1048,3.56
P005,T0156,personalized_device_eq,270.0,291.75,21.75,954,4.26
P005,T0157,generic_no_eq,315.0,337.83,22.83,1246,2.77
P005,T0158,generic_device_eq,315.0,340.88,25.88,1019,2.60
P005,T0159,personalized_no_eq,315.0,326.23,11.23,1025,4.40
P005,T0160,personalized_device_eq,315.0,330.57,15.57,1041,3.38
