run_index	guard_id	category	result	observed	threshold	detail	artifact
2	BL076-SG-C-SpatialHeadphoneProfileSupport.cpp	module_cpp_line_cap	PASS	315	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphoneProfileSupport.cpp
2	BL076-SG-C-SpatialOutputRoutingStage.cpp	module_cpp_line_cap	PASS	577	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialOutputRoutingStage.cpp
2	BL076-SG-C-SpatialSteamAudioBackend.cpp	module_cpp_line_cap	PASS	453	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialSteamAudioBackend.cpp
3	BL076-SG-001	line_count_threshold	PASS	982	<=5000	SpatialRenderer.h is within current decomposition cap	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
3	BL076-SG-002	module_file_count	PASS	18	>=2	spatial_renderer module directory has extracted units	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer
3	BL076-SG-003	required_include	PASS	present	SpatialRendererTypes include required	SpatialRenderer.h includes extracted types module	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
3	BL076-SG-004	required_include	PASS	present	SpatialProfileRouter include required	SpatialRenderer.h includes extracted routing module	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
3	BL076-SG-H-SpatialAuditionEngine.h	module_header_line_cap	PASS	200	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionEngine.h
3	BL076-SG-H-SpatialAuditionPrimitives.h	module_header_line_cap	PASS	183	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionPrimitives.h
3	BL076-SG-H-SpatialEmitterRenderPass.h	module_header_line_cap	PASS	88	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialEmitterRenderPass.h
3	BL076-SG-H-SpatialHeadphoneCompensation.h	module_header_line_cap	PASS	101	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphoneCompensation.h
3	BL076-SG-H-SpatialHeadphonePose.h	module_header_line_cap	PASS	202	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphonePose.h
3	BL076-SG-H-SpatialHeadphonePoseAndCompensation.h	module_header_line_cap	PASS	4	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphonePoseAndCompensation.h
3	BL076-SG-H-SpatialPostFxChain.h	module_header_line_cap	PASS	59	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialPostFxChain.h
3	BL076-SG-H-SpatialProfileRouter.h	module_header_line_cap	PASS	220	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialProfileRouter.h
3	BL076-SG-H-SpatialRendererTypes.h	module_header_line_cap	PASS	194	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialRendererTypes.h
3	BL076-SG-H-SpatialSteamAudioBackend.h	module_header_line_cap	PASS	167	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialSteamAudioBackend.h
3	BL076-SG-C-SpatialAuditionControl.cpp	module_cpp_line_cap	PASS	270	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionControl.cpp
3	BL076-SG-C-SpatialAuditionRender.cpp	module_cpp_line_cap	PASS	531	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionRender.cpp
3	BL076-SG-C-SpatialAuditionSignalGenerator.cpp	module_cpp_line_cap	PASS	424	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionSignalGenerator.cpp
3	BL076-SG-C-SpatialAuditionSupport.cpp	module_cpp_line_cap	PASS	293	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionSupport.cpp
3	BL076-SG-C-SpatialHeadphoneProfileControl.cpp	module_cpp_line_cap	PASS	428	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphoneProfileControl.cpp
3	BL076-SG-C-SpatialHeadphoneProfileSupport.cpp	module_cpp_line_cap	PASS	315	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphoneProfileSupport.cpp
3	BL076-SG-C-SpatialOutputRoutingStage.cpp	module_cpp_line_cap	PASS	577	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialOutputRoutingStage.cpp
3	BL076-SG-C-SpatialSteamAudioBackend.cpp	module_cpp_line_cap	PASS	453	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialSteamAudioBackend.cpp
4	BL076-SG-001	line_count_threshold	PASS	982	<=5000	SpatialRenderer.h is within current decomposition cap	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
4	BL076-SG-002	module_file_count	PASS	18	>=2	spatial_renderer module directory has extracted units	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer
4	BL076-SG-003	required_include	PASS	present	SpatialRendererTypes include required	SpatialRenderer.h includes extracted types module	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
4	BL076-SG-004	required_include	PASS	present	SpatialProfileRouter include required	SpatialRenderer.h includes extracted routing module	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
4	BL076-SG-H-SpatialAuditionEngine.h	module_header_line_cap	PASS	200	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionEngine.h
4	BL076-SG-H-SpatialAuditionPrimitives.h	module_header_line_cap	PASS	183	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionPrimitives.h
4	BL076-SG-H-SpatialEmitterRenderPass.h	module_header_line_cap	PASS	88	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialEmitterRenderPass.h
4	BL076-SG-H-SpatialHeadphoneCompensation.h	module_header_line_cap	PASS	101	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphoneCompensation.h
4	BL076-SG-H-SpatialHeadphonePose.h	module_header_line_cap	PASS	202	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphonePose.h
4	BL076-SG-H-SpatialHeadphonePoseAndCompensation.h	module_header_line_cap	PASS	4	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphonePoseAndCompensation.h
4	BL076-SG-H-SpatialPostFxChain.h	module_header_line_cap	PASS	59	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialPostFxChain.h
4	BL076-SG-H-SpatialProfileRouter.h	module_header_line_cap	PASS	220	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialProfileRouter.h
4	BL076-SG-H-SpatialRendererTypes.h	module_header_line_cap	PASS	194	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialRendererTypes.h
4	BL076-SG-H-SpatialSteamAudioBackend.h	module_header_line_cap	PASS	167	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialSteamAudioBackend.h
4	BL076-SG-C-SpatialAuditionControl.cpp	module_cpp_line_cap	PASS	270	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionControl.cpp
4	BL076-SG-C-SpatialAuditionRender.cpp	module_cpp_line_cap	PASS	531	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionRender.cpp
4	BL076-SG-C-SpatialAuditionSignalGenerator.cpp	module_cpp_line_cap	PASS	424	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionSignalGenerator.cpp
4	BL076-SG-C-SpatialAuditionSupport.cpp	module_cpp_line_cap	PASS	293	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionSupport.cpp
4	BL076-SG-C-SpatialHeadphoneProfileControl.cpp	module_cpp_line_cap	PASS	428	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphoneProfileControl.cpp
4	BL076-SG-C-SpatialHeadphoneProfileSupport.cpp	module_cpp_line_cap	PASS	315	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphoneProfileSupport.cpp
4	BL076-SG-C-SpatialOutputRoutingStage.cpp	module_cpp_line_cap	PASS	577	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialOutputRoutingStage.cpp
4	BL076-SG-C-SpatialSteamAudioBackend.cpp	module_cpp_line_cap	PASS	453	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialSteamAudioBackend.cpp
5	BL076-SG-001	line_count_threshold	PASS	982	<=5000	SpatialRenderer.h is within current decomposition cap	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
5	BL076-SG-002	module_file_count	PASS	18	>=2	spatial_renderer module directory has extracted units	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer
5	BL076-SG-003	required_include	PASS	present	SpatialRendererTypes include required	SpatialRenderer.h includes extracted types module	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
5	BL076-SG-004	required_include	PASS	present	SpatialProfileRouter include required	SpatialRenderer.h includes extracted routing module	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
5	BL076-SG-H-SpatialAuditionEngine.h	module_header_line_cap	PASS	200	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionEngine.h
5	BL076-SG-H-SpatialAuditionPrimitives.h	module_header_line_cap	PASS	183	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionPrimitives.h
5	BL076-SG-H-SpatialEmitterRenderPass.h	module_header_line_cap	PASS	88	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialEmitterRenderPass.h
5	BL076-SG-H-SpatialHeadphoneCompensation.h	module_header_line_cap	PASS	101	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphoneCompensation.h
5	BL076-SG-H-SpatialHeadphonePose.h	module_header_line_cap	PASS	202	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphonePose.h
5	BL076-SG-H-SpatialHeadphonePoseAndCompensation.h	module_header_line_cap	PASS	4	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphonePoseAndCompensation.h
5	BL076-SG-H-SpatialPostFxChain.h	module_header_line_cap	PASS	59	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialPostFxChain.h
5	BL076-SG-H-SpatialProfileRouter.h	module_header_line_cap	PASS	220	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialProfileRouter.h
5	BL076-SG-H-SpatialRendererTypes.h	module_header_line_cap	PASS	194	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialRendererTypes.h
5	BL076-SG-H-SpatialSteamAudioBackend.h	module_header_line_cap	PASS	167	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialSteamAudioBackend.h
5	BL076-SG-C-SpatialAuditionControl.cpp	module_cpp_line_cap	PASS	270	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionControl.cpp
5	BL076-SG-C-SpatialAuditionRender.cpp	module_cpp_line_cap	PASS	531	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionRender.cpp
5	BL076-SG-C-SpatialAuditionSignalGenerator.cpp	module_cpp_line_cap	PASS	424	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionSignalGenerator.cpp
5	BL076-SG-C-SpatialAuditionSupport.cpp	module_cpp_line_cap	PASS	293	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionSupport.cpp
5	BL076-SG-C-SpatialHeadphoneProfileControl.cpp	module_cpp_line_cap	PASS	428	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphoneProfileControl.cpp
5	BL076-SG-C-SpatialHeadphoneProfileSupport.cpp	module_cpp_line_cap	PASS	315	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphoneProfileSupport.cpp
5	BL076-SG-C-SpatialOutputRoutingStage.cpp	module_cpp_line_cap	PASS	577	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialOutputRoutingStage.cpp
5	BL076-SG-C-SpatialSteamAudioBackend.cpp	module_cpp_line_cap	PASS	453	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialSteamAudioBackend.cpp
6	BL076-SG-001	line_count_threshold	PASS	982	<=5000	SpatialRenderer.h is within current decomposition cap	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
6	BL076-SG-002	module_file_count	PASS	18	>=2	spatial_renderer module directory has extracted units	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer
6	BL076-SG-003	required_include	PASS	present	SpatialRendererTypes include required	SpatialRenderer.h includes extracted types module	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
6	BL076-SG-004	required_include	PASS	present	SpatialProfileRouter include required	SpatialRenderer.h includes extracted routing module	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
6	BL076-SG-H-SpatialAuditionEngine.h	module_header_line_cap	PASS	200	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionEngine.h
6	BL076-SG-H-SpatialAuditionPrimitives.h	module_header_line_cap	PASS	183	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionPrimitives.h
6	BL076-SG-H-SpatialEmitterRenderPass.h	module_header_line_cap	PASS	88	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialEmitterRenderPass.h
6	BL076-SG-H-SpatialHeadphoneCompensation.h	module_header_line_cap	PASS	101	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphoneCompensation.h
6	BL076-SG-H-SpatialHeadphonePose.h	module_header_line_cap	PASS	202	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphonePose.h
6	BL076-SG-H-SpatialHeadphonePoseAndCompensation.h	module_header_line_cap	PASS	4	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphonePoseAndCompensation.h
6	BL076-SG-H-SpatialPostFxChain.h	module_header_line_cap	PASS	59	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialPostFxChain.h
6	BL076-SG-H-SpatialProfileRouter.h	module_header_line_cap	PASS	220	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialProfileRouter.h
6	BL076-SG-H-SpatialRendererTypes.h	module_header_line_cap	PASS	194	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialRendererTypes.h
6	BL076-SG-H-SpatialSteamAudioBackend.h	module_header_line_cap	PASS	167	<=250	module header line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialSteamAudioBackend.h
6	BL076-SG-C-SpatialAuditionControl.cpp	module_cpp_line_cap	PASS	270	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionControl.cpp
6	BL076-SG-C-SpatialAuditionRender.cpp	module_cpp_line_cap	PASS	531	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionRender.cpp
6	BL076-SG-C-SpatialAuditionSignalGenerator.cpp	module_cpp_line_cap	PASS	424	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionSignalGenerator.cpp
6	BL076-SG-C-SpatialAuditionSupport.cpp	module_cpp_line_cap	PASS	293	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialAuditionSupport.cpp
6	BL076-SG-C-SpatialHeadphoneProfileControl.cpp	module_cpp_line_cap	PASS	428	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphoneProfileControl.cpp
6	BL076-SG-C-SpatialHeadphoneProfileSupport.cpp	module_cpp_line_cap	PASS	315	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialHeadphoneProfileSupport.cpp
6	BL076-SG-C-SpatialOutputRoutingStage.cpp	module_cpp_line_cap	PASS	577	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialOutputRoutingStage.cpp
6	BL076-SG-C-SpatialSteamAudioBackend.cpp	module_cpp_line_cap	PASS	453	<=700	module implementation line cap satisfied	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer/SpatialSteamAudioBackend.cpp
7	BL076-SG-001	line_count_threshold	PASS	982	<=5000	SpatialRenderer.h is within current decomposition cap	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
7	BL076-SG-002	module_file_count	PASS	18	>=2	spatial_renderer module directory has extracted units	/Users/artbox/Documents/Repos/LocusQ/Source/spatial_renderer
7	BL076-SG-003	required_include	PASS	present	SpatialRendererTypes include required	SpatialRenderer.h includes extracted types module	/Users/artbox/Documents/Repos/LocusQ/Source/SpatialRenderer.h
